VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalFreightCost,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,GrossProfit,ProfitMargin,StockTurnOver,SaletoPurchaseRatio
17035,PERNOD RICARD USA,2756,Jameson Caskmates,22.89,750,29.99,11220,256825.8,123780.22,10632,316023.68,194946.5,8376.85,59197.88,18.73210261,0.947593583,1.230498182
9165,ULTRA BEVERAGE COMPANY LLP,15094,Butter Chard,9.08,750,14.99,28274,256727.92,68054.7,25366,368418.66,107099.35,2840.41,111690.74,30.31625488,0.897149324,1.435054902
8112,MOET HENNESSY USA INC,8612,Grand Marnier,45.79,1750,67.99,5583,255645.57,48347.26,5516,351316.84,244095.86,10139.19,95671.27,27.23219018,0.987999284,1.374234023
9815,WINE GROUP INC,6349,Glen Ellen Chard RSV,4.63,1500,6.99,55151,255349.13,27100.41,54842,383345.58,101103.36,12318.42,127996.45,33.38931154,0.9943972,1.501260568
12546,JIM BEAM BRANDS COMPANY,3351,Pinnacle Whipped Vodka,13.27,1750,16.99,19227,255142.29,123880.97,18722,314369.78,174230.35,34401.58,59227.49,18.84007108,0.973734852,1.232135135
3664,WILLIAM GRANT & SONS INC,8021,Glenfiddich Special Rsv 12,31.49,750,39.99,8081,254470.69,30234.42,6976,305773.24,207326.89,5497.84,51302.55,16.77797246,0.863259498,1.201604947
9165,ULTRA BEVERAGE COMPANY LLP,3788,Patron Silver Tequila,19.99,375,27.99,12664,253153.36,68054.7,12119,332234.81,198765.83,4756.57,79081.45,23.80287905,0.956964624,1.312385544
11567,CAMPARI AMERICA,8107,Wild Turkey 101,26.71,1750,36.99,9472,252997.12,20964.81,9109,323428.91,210310.83,16742.88,70431.79,21.77659072,0.96167652,1.278389691
8112,MOET HENNESSY USA INC,2692,Glenmorangie 10 Yr Scotch,26.31,750,41.99,9588,252260.28,48347.26,9337,334079.63,208416.15,7356.72,81819.35,24.49097241,0.973821443,1.324344958
1128,BROWN-FORMAN CORP,1237,Jack Daniels Single Barrel,33.83,750,44.99,7418,250950.94,68601.68,6658,303998.42,179485.9,5246.55,53047.48,17.44991964,0.897546508,1.211385859
480,BACARDI USA INC,3851,Grey Goose Vodka,12.02,375,15.99,20841,250508.82,89286.27,20370,303207.3,131327.43,8002.79,52698.48,17.38034671,0.977400317,1.210365767
3664,WILLIAM GRANT & SONS INC,8480,Clan MacGregor,11.19,1750,14.99,22379,250421.01,30234.42,21500,329242,131701,39505.41,78820.99,23.94013826,0.960722106,1.314753902
17035,PERNOD RICARD USA,2645,Chivas Regal,21.89,750,31.99,11427,250137.03,123780.22,10418,325119.82,188947.77,8208.39,74982.79,23.06312485,0.911700359,1.299766852
3089,SIDNEY FRANK IMPORTING CO,812,Jagermeister Liqueur,17.03,1000,22.99,14663,249710.89,8549.55,14479,313344.21,150325.84,15202.95,63633.32,20.30780144,0.987451408,1.254827973
1392,CONSTELLATION BRANDS INC,40097,Black Box Chard,10.59,3000,16.99,23567,249574.53,79528.99,23511,426705.89,183298.41,10579.95,177131.36,41.51134637,0.997623796,1.709733321
9552,M S WALKER INC,40425,Mionetto Prosecco Brut,6.42,750,13.99,38456,246887.52,55551.82,37020,451247.84,112547.09,4149.3,204360.32,45.28782232,0.962658623,1.82774666
12546,JIM BEAM BRANDS COMPANY,3696,Gilbeys Vodka,7.6,1750,10.49,32485,246886,123880.97,32157,341285.93,141623.07,59081.19,94399.93,27.66007084,0.989903032,1.382362426
8112,MOET HENNESSY USA INC,821,Grand Marnier,27.99,1000,38.99,8781,245780.19,48347.26,8616,331221.84,188002.23,9046.8,85441.65,25.7958986,0.981209429,1.347634405
